# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	0.3999
_ch0_neuron0,	0.8239
_ch0_neuron0,	1.8238
_ch0_neuron0,	2.0895
_ch0_neuron0,	2.9375
_ch0_neuron0,	3.7863
_ch0_neuron0,	4.6412
_ch0_neuron0,	5.4944
_ch0_neuron0,	5.9386
_ch0_neuron0,	6.3763
_ch0_neuron0,	7.2316
_ch0_neuron0,	7.6771
_ch0_neuron0,	8.5430
_ch0_neuron0,	8.9696
_ch0_neuron0,	9.4089
_ch0_neuron0,	10.0070
_ch0_neuron0,	10.2840
_ch0_neuron0,	10.7157
_ch0_neuron0,	11.1558
_ch0_neuron0,	11.5973
_ch0_neuron0,	12.2013
_ch0_neuron0,	12.4664
_ch0_neuron0,	12.9114
_ch0_neuron0,	13.3619
_ch0_neuron0,	14.2372
_ch0_neuron0,	14.6896
_ch0_neuron0,	15.1294
_ch0_neuron0,	15.5646
_ch0_neuron0,	16.0110
_ch0_neuron0,	16.4588
_ch0_neuron0,	18.2585
_ch0_neuron0,	18.4284
_ch0_neuron0,	18.7236
_ch0_neuron0,	19.1752
_ch0_neuron0,	19.6149
_ch0_neuron0,	20.0675
_ch0_neuron0,	20.9724
_ch0_neuron0,	21.4222
_ch0_neuron0,	21.9036
_ch0_neuron0,	22.8471
_ch0_neuron0,	23.3208
_ch0_neuron0,	23.8297
_ch0_neuron0,	24.3257
_ch0_neuron0,	24.7988
_ch0_neuron0,	25.2913
_ch0_neuron0,	25.8037
_ch0_neuron0,	26.2952
_ch0_neuron0,	26.7694
_ch0_neuron0,	27.2675
_ch0_neuron0,	27.7678
_ch0_neuron0,	28.2535
_ch0_neuron0,	28.4203
_ch0_neuron0,	29.2090
_ch0_neuron0,	29.3714
_ch0_neuron0,	29.7098
_ch0_neuron0,	30.1964
_ch0_neuron0,	30.6672
_ch0_neuron0,	31.1411
_ch0_neuron0,	31.6372
_ch0_neuron0,	32.1199
_ch0_neuron0,	32.5821
_ch0_neuron0,	33.0303
_ch0_neuron0,	33.4860
_ch0_neuron0,	33.9722
_ch0_neuron0,	34.4641
_ch0_neuron0,	34.9369
_ch0_neuron0,	35.8881
_ch0_neuron0,	36.3861
_ch0_neuron0,	36.8687
_ch0_neuron0,	37.3444
_ch0_neuron0,	37.8301
_ch0_neuron0,	38.3435
_ch0_neuron0,	38.8463
_ch0_neuron0,	39.3383
_ch0_neuron0,	39.8512
_ch0_neuron0,	40.4027
_ch0_neuron0,	40.9334
_ch0_neuron0,	41.4312
_ch0_neuron0,	41.9344
_ch0_neuron0,	42.4891
_ch0_neuron0,	43.0202
_ch0_neuron0,	43.5196
_ch0_neuron0,	44.0218
_ch0_neuron0,	44.5645
_ch0_neuron0,	45.0849
_ch0_neuron0,	45.5822
_ch0_neuron0,	46.0855
_ch0_neuron0,	46.6349
_ch0_neuron0,	47.1653
_ch0_neuron0,	47.6641
_ch0_neuron0,	48.1699
_ch0_neuron0,	48.7150
_ch0_neuron0,	49.2630
_ch0_neuron0,	49.7662
_ch0_neuron0,	50.2703
_ch0_neuron0,	50.8150
_ch0_neuron0,	51.3571
_ch0_neuron0,	51.8631
_ch0_neuron0,	52.3689
_ch0_neuron0,	52.9150
_ch0_neuron0,	53.4804
_ch0_neuron0,	54.0077
_ch0_neuron0,	54.5203
_ch0_neuron0,	55.0669
_ch0_neuron0,	55.6377
_ch0_neuron0,	56.1731
_ch0_neuron0,	56.6874
_ch0_neuron0,	57.2202
_ch0_neuron0,	57.7892
_ch0_neuron0,	58.3316
_ch0_neuron0,	58.8490
_ch0_neuron0,	59.3731
_ch0_neuron0,	59.9250
_neuron0threshhig6756,	0.0000
_neuron0threshlow2643,	0.0000
