bpm,participant
0.3734,1
1.2411,1
2.1328,1
2.9725,1
3.8239,1
4.718,1
5.6388,1
6.549,1
7.3974,1
8.1785,1
8.9158,1
9.7136,1
10.9211,1
11.8931,1
12.7011,1
13.4586,1
14.1864,1
15.12,1
0.0677,10
0.837,10
1.5817,10
2.2515,10
2.8865,10
3.5289,10
4.2174,10
4.9916,10
5.855,10
6.5947,10
7.289,10
8.0912,10
8.9536,10
9.7685,10
10.489,10
11.3106,10
12.1521,10
12.9385,10
13.6717,10
14.4866,10
15.3883,10
0.5374,11
1.1042,11
1.6464,11
2.1864,11
2.7275,11
3.2805,11
3.8332,11
4.3674,11
4.9164,11
5.4736,11
6.0584,11
6.6278,11
7.1865,11
7.759,11
8.3315,11
8.8931,11
9.4382,11
9.9861,11
10.5275,11
11.0603,11
12.0801,11
12.7936,11
13.3059,11
13.6294,11
14.7167,11
15.2619,11
0.3001,12
0.9092,12
1.5262,12
2.1684,12
2.857,12
3.6081,12
4.368,12
5.0838,12
5.7972,12
6.5043,12
7.218,12
7.9371,12
8.6724,12
9.4096,12
10.0962,12
10.7633,12
11.4503,12
12.1723,12
12.9028,12
13.6298,12
14.4138,12
15.242,12
0.3763,14
1.2237,14
2.017,14
2.7902,14
3.5406,14
4.2548,14
4.9614,14
5.6451,14
6.3041,14
6.9741,14
7.6809,14
8.3842,14
9.0807,14
9.7619,14
10.3995,14
11.0047,14
11.6252,14
12.2262,14
12.8428,14
13.488,14
14.1435,14
14.7805,14
15.4253,14
0.6151,15
1.415,15
2.2135,15
2.9839,15
3.7359,15
4.4975,15
5.2909,15
6.0643,15
6.7569,15
7.4791,15
8.3063,15
9.1834,15
9.9787,15
10.7241,15
11.5128,15
12.3239,15
13.1163,15
13.8827,15
14.6484,15
15.4434,15
0.0,16
0.6717,16
1.3768,16
2.0667,16
2.7094,16
3.327,16
3.9295,16
4.5629,16
5.2716,16
6.0405,16
6.7829,16
7.5039,16
8.2148,16
8.9627,16
9.7189,16
10.474,16
11.1843,16
11.881,16
12.5978,16
13.2623,16
13.9088,16
14.5486,16
15.2464,16
16.0059,16
0.5319,17
1.5792,17
2.5334,17
3.405,17
4.2551,17
5.1513,17
6.0695,17
7.002,17
7.9317,17
8.8749,17
9.7935,17
10.7435,17
11.7377,17
12.6325,17
13.409,17
14.1477,17
14.9046,17
0.3664,18
1.5791,18
2.7688,18
3.9054,18
5.0125,18
6.1618,18
7.3739,18
8.6575,18
9.8757,18
11.0543,18
12.3867,18
13.6627,18
14.2312,18
15.7096,18
16.9518,18
18.1154,18
0.0651,19
1.018,19
1.9231,19
2.8655,19
3.8261,19
4.7419,19
5.718,19
6.6899,19
7.6046,19
8.5469,19
9.4785,19
10.3455,19
11.2717,19
12.2096,19
13.0806,19
14.0463,19
15.0397,19
0.3554,2
1.0806,2
1.8004,2
2.5189,2
3.2261,2
3.9275,2
4.6389,2
5.3521,2
6.0604,2
6.7612,2
7.467,2
8.1741,2
8.8726,2
9.5617,2
10.2548,2
10.9506,2
11.658,2
12.383,2
13.1323,2
13.905,2
14.6937,2
0.7045,20
1.6574,20
2.5835,20
3.5819,20
4.5918,20
5.5805,20
6.4891,20
7.3386,20
8.1591,20
9.0364,20
10.018,20
11.042,20
12.0584,20
12.974,20
13.8321,20
14.6373,20
0.4116,21
1.2152,21
1.9873,21
2.7987,21
3.5909,21
4.3811,21
5.2562,21
6.2077,21
7.1217,21
7.9611,21
8.8259,21
9.6795,21
10.546,21
11.2827,21
11.9888,21
12.6571,21
13.3771,21
14.1758,21
14.9775,21
0.4221,22
1.2411,22
2.0978,22
2.9713,22
3.7417,22
4.5344,22
5.3799,22
6.3036,22
7.1159,22
7.9962,22
8.9855,22
9.9908,22
10.9175,22
11.7792,22
12.6869,22
13.6131,22
14.5492,22
15.3618,22
0.0235,23
0.6048,23
1.1732,23
1.7388,23
2.3129,23
2.9102,23
3.5425,23
4.2203,23
4.9818,23
5.839,23
6.6504,23
7.4439,23
8.2256,23
8.988,23
9.7292,23
10.4283,23
11.1339,23
11.8833,23
12.6387,23
13.3697,23
14.1262,23
14.9223,23
0.9259,24
1.8381,24
2.7529,24
3.6748,24
4.491,24
5.3624,24
6.3096,24
7.2296,24
8.0553,24
8.9507,24
9.8826,24
10.764,24
11.0592,24
11.6422,24
12.5952,24
13.599,24
14.4787,24
15.3191,24
0.6647,25
1.5802,25
2.4816,25
3.3395,25
4.142,25
4.914,25
5.6968,25
6.4971,25
7.3309,25
8.2052,25
9.0757,25
9.9276,25
10.7664,25
11.6018,25
12.4451,25
13.2727,25
14.0381,25
14.8495,25
0.598,26
1.4808,26
2.3643,26
3.2405,26
4.0754,26
4.8976,26
5.7629,26
6.6613,26
7.6114,26
8.5398,26
9.4249,26
10.2524,26
11.0767,26
11.9196,26
12.7921,26
13.6947,26
14.6092,26
15.4781,26
0.5047,27
1.4471,27
2.4605,27
3.5492,27
4.6058,27
5.597,27
6.5544,27
7.5249,27
8.5344,27
9.5468,27
10.5875,27
11.6368,27
12.6759,27
13.655,27
14.5532,27
0.1299,28
1.1017,28
2.1106,28
3.1262,28
4.1683,28
5.1759,28
