participant,Mean IBI (s),SDNN (s),RMSSD (s),pNN50 (%)
8,0.7022414634146341,0.09423063681696926,0.09259241962946786,24.390243902439025
10,0.6511382978723405,0.17852783268698272,0.12841912228224428,52.12765957446809
12,0.598094,0.7021463130744192,1.0220250726826228,64.0
14,0.5622971698113208,0.052303655230591606,0.03244611797162414,6.60377358490566
18,0.766438961038961,0.2004552734747971,0.16456032888307423,37.66233766233766
22,0.7010552941176471,0.10654322901265428,0.05831401244657249,30.58823529411765
24,0.9187640625,0.07573444429218518,0.07848977589874338,62.5
30,0.8721294117647059,0.09426278359056765,0.07224971724367513,41.17647058823529
40,0.5258508771929824,0.20289930103102807,0.26008632161316314,71.05263157894737
44,0.713029268292683,0.2677584352194564,0.2777911790100657,76.82926829268293
46,0.7557653846153846,0.18489776511728007,0.23770424163970333,71.7948717948718
