participant,Mean IBI (s),SDNN (s),RMSSD (s),pNN50 (%)
1,0.6375979591836736,0.20882449372501444,0.2316927860624974,41.83673469387755
5,0.8827777777777778,0.13581194332832905,0.16496966003600255,69.44444444444444
7,0.6197515151515152,0.21256651454019043,0.21149279309378993,35.35353535353536
9,0.46519924242424243,0.5462777210906852,0.7188502346437183,75.75757575757575
15,0.5907809917355372,0.1731636026278312,0.13338582196020612,28.92561983471074
17,0.44953111111111116,0.08548379137388748,0.0893194576919727,8.88888888888889
19,0.5244504347826087,0.14538361810346587,0.13181167220631268,29.565217391304348
21,0.7527962025316456,0.31670798850925636,0.29946248127654934,58.22784810126582
23,0.5305303571428571,0.05255666642383954,0.024448736587413433,3.571428571428571
27,0.7497772151898734,0.2492097514952939,0.2896965611879136,65.82278481012658
31,0.6525510416666666,0.36239707015544215,0.48718992503194497,32.29166666666667
33,0.9601984375,0.27425469828028215,0.21422710468321313,70.3125
39,0.7717267441860465,0.8868926531651039,1.1998982981412853,74.4186046511628
43,0.5821660194174757,0.37518301334883786,0.5631868794427572,74.75728155339806
51,0.799645945945946,0.22545345548842846,0.19920843011814798,22.972972972972975
