time,participant
0.0392,1
0.5074,1
0.9808,1
1.4811,1
2.0286,1
2.9315,1
3.7215,1
4.3543,1
4.8559,1
5.3257,1
5.7891,1
6.2694,1
6.7862,1
7.3281,1
7.9122,1
8.5351,1
9.1565,1
9.6998,1
10.2217,1
10.7623,1
11.7773,1
12.481,1
13.0215,1
13.5152,1
14.0053,1
14.5429,1
15.5629,1
16.2968,1
16.9792,1
17.6363,1
17.9355,1
18.1424,1
18.9729,1
19.0863,1
19.3182,1
19.8077,1
20.1279,1
20.1855,1
20.4915,1
21.0644,1
22.1239,1
22.9906,1
23.7692,1
24.4856,1
25.1496,1
25.7752,1
26.416,1
27.0705,1
27.7673,1
28.4571,1
29.1279,1
29.7599,1
30.3737,1
31.0501,1
31.9268,1
32.0567,1
32.2555,1
33.5588,1
34.3339,1
35.0442,1
35.7125,1
36.3569,1
37.0022,1
37.6424,1
38.2907,1
38.946,1
39.6088,1
40.2467,1
40.8501,1
41.4024,1
41.9139,1
42.4131,1
42.924,1
43.4776,1
44.096,1
45.1539,1
45.981,1
46.7988,1
47.6425,1
48.4572,1
49.2677,1
50.0373,1
50.7697,1
51.4747,1
52.1439,1
52.7814,1
53.3608,1
53.8917,1
54.4184,1
54.993,1
55.6447,1
56.7789,1
57.6593,1
58.5261,1
59.386,1
60.2081,1
61.0068,1
61.7825,1
62.5238,1
0.2087,10
0.381,10
0.6831,10
0.9945,10
1.159,10
1.4366,10
1.6345,10
1.8923,10
2.2468,10
2.5099,10
2.6727,10
3.6129,10
4.198,10
4.7832,10
5.3148,10
5.8598,10
6.4339,10
7.0278,10
7.675,10
8.3156,10
8.9245,10
9.4848,10
10.0344,10
10.6103,10
11.2555,10
11.8885,10
12.4664,10
13.0266,10
13.6029,10
14.2321,10
14.8589,10
15.4278,10
16.0335,10
16.684,10
17.2875,10
17.8871,10
18.5396,10
19.2141,10
19.839,10
20.4723,10
21.1268,10
21.7165,10
22.2741,10
22.8261,10
23.4027,10
23.978,10
24.523,10
25.0465,10
25.6053,10
26.6087,10
27.3916,10
28.0716,10
28.8304,10
29.5874,10
30.2345,10
30.8743,10
31.6021,10
32.2499,10
32.9503,10
33.9718,10
34.7377,10
35.5141,10
36.4416,10
37.198,10
37.9374,10
38.7292,10
39.4971,10
40.248,10
41.0759,10
41.8449,10
42.5923,10
43.4132,10
44.364,10
45.2306,10
45.9656,10
46.6851,10
47.4537,10
48.2475,10
48.9543,10
49.7013,10
50.5009,10
51.2409,10
52.0241,10
52.9402,10
53.7457,10
54.4767,10
55.2544,10
56.1004,10
56.8234,10
57.5966,10
58.4342,10
59.2559,10
60.0001,10
60.6926,10
61.4157,10
0.3208,11
0.6906,11
1.0568,11
1.4233,11
1.7861,11
2.1477,11
2.5103,11
2.8721,11
3.2358,11
3.6037,11
3.9741,11
4.3456,11
4.7171,11
5.0913,11
5.4685,11
5.8467,11
6.2311,11
6.6137,11
6.9943,11
7.377,11
7.7611,11
8.1521,11
8.5476,11
8.9446,11
9.3367,11
9.7306,11
10.1302,11
10.5348,11
10.9425,11
11.3432,11
11.742,11
12.1418,11
12.5467,11
12.9543,11
13.365,11
13.7686,11
14.1688,11
14.5707,11
14.9742,11
15.3825,11
15.7955,11
16.2086,11
16.6171,11
17.0245,11
17.3845,11
17.4448,11
17.8262,11
17.8696,11
18.0894,11
18.3066,11
18.7389,11
18.9601,11
19.1631,11
19.5836,11
20.0,11
20.4221,11
20.8568,11
21.3111,11
21.7871,11
22.2721,11
22.7475,11
22.9616,11
23.2245,11
23.6939,11
24.1587,11
24.6187,11
25.0702,11
25.5076,11
25.9399,11
26.3706,11
26.7589,11
26.8061,11
27.2561,11
27.7148,11
28.1576,11
28.5944,11
29.0325,11
29.4858,11
29.9549,11
30.4342,11
30.8998,11
31.3677,11
31.7487,11
31.838,11
32.2988,11
32.7599,11
33.2155,11
33.6694,11
34.132,11
34.6124,11
35.0445,11
35.3559,11
37.1415,11
37.5746,11
37.6263,11
38.1047,11
38.329,11
38.53,11
38.5786,11
38.9921,11
39.0427,11
39.4233,11
39.4961,11
39.7144,11
39.9406,11
40.3775,11
41.2437,11
41.6818,11
42.1396,11
42.6972,11
43.3491,11
44.5428,11
46.6398,11
47.0944,11
47.1645,11
47.5769,11
47.676,11
48.1762,11
48.6621,11
49.1344,11
49.5928,11
50.0419,11
50.2696,11
50.4849,11
50.932,11
51.3856,11
51.7971,11
51.8451,11
52.0859,11
52.2946,11
52.5271,11
52.7401,11
53.0899,11
53.1893,11
53.6437,11
54.5764,11
56.2228,11
56.4937,11
57.7316,11
58.2766,11
58.7881,11
59.2838,11
59.5279,11
59.7667,11
60.2403,11
60.6305,11
60.7061,11
61.1083,11
61.1641,11
61.6148,11
62.059,11
62.5123,11
62.9833,11
63.4835,11
63.7164,11
63.989,11
64.4683,11
64.6979,11
64.9389,11
65.4044,11
65.8774,11
66.3548,11
68.6246,11
69.1688,11
69.6874,11
70.1908,11
70.6819,11
0.4006,12
0.8589,12
1.3273,12
1.8068,12
2.2776,12
3.1475,12
3.2011,12
3.3335,12
3.6134,12
3.6757,12
4.1199,12
4.1475,12
4.4414,12
4.5854,12
4.6149,12
5.0762,12
5.2063,12
6.4431,12
6.5447,12
6.8297,12
7.0571,12
7.5563,12
8.0549,12
8.5654,12
9.0878,12
9.6019,12
10.1037,12
10.6145,12
11.1394,12
11.6545,12
12.1586,12
12.6641,12
13.1813,12
13.7044,12
14.7395,12
15.1819,12
15.2474,12
15.5554,12
15.7643,12
17.2739,12
17.3376,12
17.858,12
20.6552,12
21.0665,12
21.2432,12
21.869,12
22.4416,12
22.7989,12
22.996,12
23.3835,12
23.5609,12
24.1402,12
28.1136,12
28.5014,12
28.7479,12
29.3288,12
29.881,12
30.4106,12
34.4106,12
34.831,12
35.0154,12
35.586,12
36.1388,12
36.6794,12
40.3202,12
40.8362,12
40.9056,12
41.4513,12
41.5106,12
42.0854,12
42.4148,12
42.6475,12
44.8916,12
45.4428,12
46.0168,12
46.5879,12
47.6464,12
47.7093,12
48.0148,12
48.292,12
48.9015,12
49.4963,12
50.0869,12
50.7075,12
51.3551,12
51.9667,12
52.5579,12
53.1599,12
53.7462,12
55.4202,12
55.4858,12
56.008,12
56.0695,12
56.6461,12
56.9672,12
57.2414,12
57.8474,12
58.4335,12
59.0195,12
59.62,12
60.21,12
0.3662,14
0.8364,14
1.3016,14
1.7771,14
2.2551,14
2.7263,14
3.2012,14
3.6834,14
4.174,14
4.6613,14
5.1498,14
5.6576,14
6.1541,14
6.6552,14
7.1629,14
7.6816,14
8.1894,14
8.702,14
9.2131,14
9.712,14
10.2005,14
10.7073,14
11.2191,14
11.7375,14
12.2708,14
12.8387,14
13.4066,14
13.9913,14
14.5789,14
15.141,14
15.7123,14
16.2794,14
16.816,14
17.3808,14
17.9135,14
