participant,Mean IBI (s),SDNN (s),RMSSD (s),pNN50 (%)
4,0.8645231884057971,0.09363792453687343,0.05510205905195094,37.68115942028986
6,0.5244069565217391,0.050294834589542266,0.023143821880322005,2.608695652173913
8,0.7022414634146341,0.09423063681696926,0.09259241962946786,24.390243902439025
10,0.6511382978723405,0.17852783268698272,0.12841912228224428,52.12765957446809
14,0.5622971698113208,0.052303655230591606,0.03244611797162414,6.60377358490566
16,0.4460576642335767,0.06424912930493301,0.07607528585320625,5.109489051094891
22,0.7010552941176471,0.10654322901265428,0.05831401244657249,30.58823529411765
32,0.4610815384615385,0.031308590083517884,0.007904811605068831,0.0
34,0.5823441176470588,0.5245414250400487,0.5786237037955322,57.84313725490197
36,0.4820306451612903,0.2253322901768808,0.34992811340737645,87.09677419354838
38,0.5314741071428571,0.19093432198455793,0.29338099525766564,28.57142857142857
42,0.6594287234042553,0.17000770734865167,0.19817758735294044,38.297872340425535
48,0.5024949579831933,0.4718885562867679,0.6675267802029637,63.86554621848739
