participant,Mean IBI (s),SDNN (s),RMSSD (s),pNN50 (%)
1,0.6375979591836736,0.20882449372501444,0.2316927860624974,41.83673469387755
3,0.46612635658914725,0.11007960299370956,0.09335853435814036,10.077519379844961
5,0.8827777777777778,0.13581194332832905,0.16496966003600255,69.44444444444444
7,0.6197515151515152,0.21256651454019043,0.21149279309378993,35.35353535353536
9,0.46519924242424243,0.5462777210906852,0.7188502346437183,75.75757575757575
11,0.42386204819277107,0.293111695175776,0.3680704775233171,37.95180722891566
15,0.5907809917355372,0.1731636026278312,0.13338582196020612,28.92561983471074
17,0.44953111111111116,0.08548379137388748,0.0893194576919727,8.88888888888889
19,0.5244504347826087,0.14538361810346587,0.13181167220631268,29.565217391304348
25,0.5493460176991151,0.06100152766895748,0.015515971034481222,1.7699115044247788
27,0.7497772151898734,0.2492097514952939,0.2896965611879136,65.82278481012658
29,0.7035287234042554,0.2610011301118195,0.3272924965219489,55.319148936170215
35,0.6792090909090909,0.17305290614851385,0.15853404761398593,26.136363636363637
37,0.4891769841269841,0.35479071187416167,0.48643045644778465,64.28571428571429
41,0.5910967479674797,0.30371212940941306,0.3687507926082069,22.76422764227642
43,0.5821660194174757,0.37518301334883786,0.5631868794427572,74.75728155339806
47,0.6011481132075471,0.11003392635578453,0.07273469598479099,13.20754716981132
49,0.6321115384615384,0.16544453248264915,0.1380529759721147,32.69230769230769
51,0.799645945945946,0.22545345548842846,0.19920843011814798,22.972972972972975
