time,participant
0.1879,9
0.4468,9
0.7484,9
1.3021,9
1.5742,9
1.8464,9
2.1176,9
2.3984,9
2.6695,9
2.9406,9
3.2138,9
3.4749,9
4.0079,9
4.5396,9
4.8108,9
5.0623,9
5.3736,9
5.5758,9
5.8965,9
6.0901,9
6.6092,9
7.1244,9
7.4257,9
7.6469,9
7.9378,9
8.1728,9
8.4711,9
8.7247,9
9.0938,9
9.2943,9
11.2487,9
11.5497,9
12.0399,9
12.6031,9
13.1682,9
13.2277,9
13.5295,9
13.8404,9
14.1231,9
14.4263,9
14.7059,9
15.0289,9
15.3277,9
15.6401,9
16.0426,9
16.2784,9
16.5761,9
16.9171,9
17.2195,9
17.6213,9
17.8926,9
18.3391,9
18.6167,9
19.0215,9
19.7255,9
20.0141,9
20.4199,9
20.7188,9
21.0724,9
21.372,9
21.733,9
22.4084,9
22.6683,9
23.0791,9
23.372,9
23.7835,9
24.0665,9
24.4869,9
26.6473,9
27.151,9
27.3729,9
27.6631,9
28.0624,9
28.2405,9
28.3563,9
28.7246,9
28.8108,9
28.9892,9
29.3684,9
29.6505,9
30.0021,9
31.6101,9
32.012,9
32.3134,9
32.946,9
35.3882,9
36.4394,9
36.9226,9
37.2152,9
37.6886,9
37.9884,9
38.4614,9
39.2259,9
39.9588,9
40.2387,9
40.6829,9
40.7992,9
40.9805,9
41.1332,9
41.2655,9
41.326,9
41.6155,9
41.9574,9
42.2978,9
42.5615,9
42.8612,9
43.1732,9
43.6067,9
45.0526,9
49.8662,9
50.2004,9
50.6717,9
50.9947,9
51.4259,9
51.7286,9
52.1402,9
52.4536,9
52.8163,9
53.1379,9
53.4997,9
53.8002,9
54.1532,9
54.4547,9
54.815,9
55.4907,9
56.9475,9
57.2606,9
59.6242,9
59.8067,9
60.6674,9
60.7403,9
61.0313,9
61.5942,9
