Marker ID,bpm (s),Participant,File Type
_ch0_neuron0,0.3734,1,bs-events
_ch0_neuron0,1.2411,1,bs-events
_ch0_neuron0,2.1328,1,bs-events
_ch0_neuron0,2.9725,1,bs-events
_ch0_neuron0,3.8239,1,bs-events
_ch0_neuron0,4.718,1,bs-events
_ch0_neuron0,5.6388,1,bs-events
_ch0_neuron0,6.549,1,bs-events
_ch0_neuron0,7.3974,1,bs-events
_ch0_neuron0,8.1785,1,bs-events
_ch0_neuron0,8.9158,1,bs-events
_ch0_neuron0,9.7136,1,bs-events
_ch0_neuron0,10.9211,1,bs-events
_ch0_neuron0,11.8931,1,bs-events
_ch0_neuron0,12.7011,1,bs-events
_ch0_neuron0,13.4586,1,bs-events
_ch0_neuron0,14.1864,1,bs-events
_ch0_neuron0,15.12,1,bs-events
_neuron0threshhig18930,0.0,1,bs-events
_neuron0threshlow11620,0.0,1,bs-events
_ch0_neuron0,0.0392,1,exp-events
_ch0_neuron0,0.5074,1,exp-events
_ch0_neuron0,0.9808,1,exp-events
_ch0_neuron0,1.4811,1,exp-events
_ch0_neuron0,2.0286,1,exp-events
_ch0_neuron0,2.9315,1,exp-events
_ch0_neuron0,3.7215,1,exp-events
_ch0_neuron0,4.3543,1,exp-events
_ch0_neuron0,4.8559,1,exp-events
_ch0_neuron0,5.3257,1,exp-events
_ch0_neuron0,5.7891,1,exp-events
_ch0_neuron0,6.2694,1,exp-events
_ch0_neuron0,6.7862,1,exp-events
_ch0_neuron0,7.3281,1,exp-events
_ch0_neuron0,7.9122,1,exp-events
_ch0_neuron0,8.5351,1,exp-events
_ch0_neuron0,9.1565,1,exp-events
_ch0_neuron0,9.6998,1,exp-events
_ch0_neuron0,10.2217,1,exp-events
_ch0_neuron0,10.7623,1,exp-events
_ch0_neuron0,11.7773,1,exp-events
_ch0_neuron0,12.481,1,exp-events
_ch0_neuron0,13.0215,1,exp-events
_ch0_neuron0,13.5152,1,exp-events
_ch0_neuron0,14.0053,1,exp-events
_ch0_neuron0,14.5429,1,exp-events
_ch0_neuron0,15.5629,1,exp-events
_ch0_neuron0,16.2968,1,exp-events
_ch0_neuron0,16.9792,1,exp-events
_ch0_neuron0,17.6363,1,exp-events
_ch0_neuron0,17.9355,1,exp-events
_ch0_neuron0,18.1424,1,exp-events
_ch0_neuron0,18.9729,1,exp-events
_ch0_neuron0,19.0863,1,exp-events
_ch0_neuron0,19.3182,1,exp-events
_ch0_neuron0,19.8077,1,exp-events
_ch0_neuron0,20.1279,1,exp-events
_ch0_neuron0,20.1855,1,exp-events
_ch0_neuron0,20.4915,1,exp-events
_ch0_neuron0,21.0644,1,exp-events
_ch0_neuron0,22.1239,1,exp-events
_ch0_neuron0,22.9906,1,exp-events
_ch0_neuron0,23.7692,1,exp-events
_ch0_neuron0,24.4856,1,exp-events
_ch0_neuron0,25.1496,1,exp-events
_ch0_neuron0,25.7752,1,exp-events
_ch0_neuron0,26.416,1,exp-events
_ch0_neuron0,27.0705,1,exp-events
_ch0_neuron0,27.7673,1,exp-events
_ch0_neuron0,28.4571,1,exp-events
_ch0_neuron0,29.1279,1,exp-events
_ch0_neuron0,29.7599,1,exp-events
_ch0_neuron0,30.3737,1,exp-events
_ch0_neuron0,31.0501,1,exp-events
_ch0_neuron0,31.9268,1,exp-events
_ch0_neuron0,32.0567,1,exp-events
_ch0_neuron0,32.2555,1,exp-events
_ch0_neuron0,33.5588,1,exp-events
_ch0_neuron0,34.3339,1,exp-events
_ch0_neuron0,35.0442,1,exp-events
_ch0_neuron0,35.7125,1,exp-events
_ch0_neuron0,36.3569,1,exp-events
_ch0_neuron0,37.0022,1,exp-events
_ch0_neuron0,37.6424,1,exp-events
